filename,pacing,filler_words,fumbling,pitch_structure,total_score
pitch1.mp4,6,8,10,4,6.3
pitch10.mp4,8,10,10,4,7.0
pitch11.mp4,8,10,10,4,7.0
pitch12.mp4,10,10,10,8,8.7
pitch13.mp4,10,10,10,4,7.6
pitch14.mp4,10,10,10,4,7.7
pitch15.mp4,8,10,10,0,5.8
pitch16.mp4,10,2,10,2,5.5
pitch17.mp4,8,8,10,4,6.7
pitch18.mp4,10,10,10,0,6.4
pitch19.mp4,10,10,10,2,6.9
pitch2.mp4,6,10,10,6,7.3
pitch20.mp4,10,10,10,0,6.4
pitch21.mp4,10,10,10,2,7.0
pitch22.mp4,10,10,10,0,6.3
pitch23.mp4,3,2,10,0,2.9
pitch3.mp4,10,4,10,2,5.9
pitch4.mp4,8,10,10,4,7.0
pitch5.mp4,8,10,10,8,8.4
pitch6.mp4,10,10,10,6,8.3
pitch7.mp4,8,10,10,2,6.4
pitch8.mp4,6,10,10,0,5.3
pitch9.mp4,6,10,10,0,5.3
